date,Patients,max_temp,min_temp,rainfall,humidity,avg_temp,temp_range,rain_binary,humidity_norm,Patients_lag3,Patients_lag7,Patients_lag14,avg_temp_lag3,avg_temp_lag7,avg_temp_lag14,rain_binary_lag3,rain_binary_lag7,rain_binary_lag14,humidity_norm_lag3,humidity_norm_lag7,humidity_norm_lag14,rolling_Patients_7d_mean,rolling_Patients_14d_mean,rolling_avg_temp_7d_mean,rolling_avg_temp_14d_mean,rolling_rain_binary_7d_mean,rolling_rain_binary_14d_mean,rolling_humidity_norm_7d_mean,rolling_humidity_norm_14d_mean,temp_humidity_index,rain_temp_index,rain_humidity,season_Monsoon,season_Post-Monsoon,season_Pre-Monsoon,season_Winter,division_Barishal,division_Chattogram,division_Dhaka,division_Khulna,division_Mymensingh,division_Rajshahi,division_Rangpur,division_Sylhet,day_of_year,fourier_sin,fourier_cos
2022-01-15,0,23.1,16.2,0.0,76,19.65,6.900000000000002,0,0.76,1.0,0.0,1.0,20.85,20.95,19.7,1.0,0.0,0.0,0.83,0.75,0.76,0.1428571428571428,0.2142857142857142,20.87857142857143,20.196428571428573,0.2857142857142857,0.1428571428571428,0.7814285714285714,0.7871428571428571,14.934,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,False,15,0.25518241312337286,0.9668929289391522
2022-01-16,0,24.3,14.6,0.0,69,19.45,9.7,0,0.69,0.0,0.0,0.0,20.7,20.95,19.1,0.0,0.0,0.0,0.84,0.74,0.79,0.1428571428571428,0.1428571428571428,20.692857142857143,20.192857142857143,0.2857142857142857,0.1428571428571428,0.7828571428571429,0.7871428571428571,13.4205,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,False,16,0.27177673847113576,0.9623603298276546
2022-01-17,0,23.9,13.0,0.0,72,18.45,10.9,0,0.72,0.0,0.0,0.0,19.5,21.25,19.2,1.0,0.0,0.0,0.82,0.76,0.81,0.1428571428571428,0.1428571428571428,20.478571428571428,20.217857142857145,0.2857142857142857,0.1428571428571428,0.7757142857142857,0.78,13.284,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,False,17,0.28829064070951776,0.957542952811672
2022-01-18,0,24.2,13.6,0.0,77,18.9,10.6,0,0.77,0.0,0.0,1.0,19.65,21.950000000000003,19.15,0.0,0.0,0.0,0.76,0.73,0.77,0.1428571428571428,0.1428571428571428,20.07857142857143,20.164285714285715,0.2857142857142857,0.1428571428571428,0.7699999999999999,0.7735714285714286,14.553,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,False,18,0.30471923310916343,0.9524422234305677
2022-01-19,0,24.2,14.1,0.0,77,19.15,10.1,0,0.77,0.0,1.0,0.0,19.45,20.85,19.2,0.0,1.0,0.0,0.69,0.83,0.82,0.1428571428571428,0.0714285714285714,19.642857142857142,20.14642857142857,0.2857142857142857,0.1428571428571428,0.7757142857142857,0.7735714285714285,14.7455,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,False,19,0.321057654185271,0.9470596510722284
2022-01-20,0,23.5,13.4,0.0,75,18.45,10.1,0,0.75,0.0,0.0,0.0,18.45,20.7,19.65,0.0,0.0,0.0,0.72,0.84,0.82,0.0,0.0714285714285714,19.4,20.142857142857142,0.1428571428571428,0.1428571428571428,0.767142857142857,0.7700000000000001,13.8375,0.0,0.0,False,False,False,True,True,False,False,False,False,False,False,False,20,0.33730106913618424,0.9413968285264122
2022-01-21,0,24.7,14.0,0.2,72,19.35,10.7,1,0.72,0.0,0.0,0.0,18.9,19.5,20.6,0.0,1.0,0.0,0.77,0.82,0.78,0.0,0.0714285714285714,19.078571428571426,20.057142857142857,0.1428571428571428,0.1428571428571428,0.7542857142857142,0.765,13.932,19.35,0.72,False,False,False,True,True,False,False,False,False,False,False,False,21,0.35344467127408774,0.9354554315134164
2022-01-22,0,24.3,15.7,1.2,78,20.0,8.600000000000001,1,0.78,0.0,0.0,0.0,19.15,19.65,20.95,0.0,0.0,0.0,0.77,0.76,0.75,0.0,0.0714285714285714,19.057142857142857,19.96785714285713,0.1428571428571428,0.2142857142857142,0.7400000000000001,0.7607142857142856,15.6,20.0,0.78,False,False,False,True,True,False,False,False,False,False,False,False,22,0.36948368344738314,0.929237218188205
2022-01-23,0,25.5,15.9,0.5,77,20.7,9.6,1,0.77,0.0,0.0,0.0,18.45,19.45,20.95,0.0,0.0,0.0,0.75,0.69,0.74,0.0,0.0714285714285714,19.107142857142858,19.9,0.2857142857142857,0.2857142857142857,0.7428571428571428,0.7628571428571428,15.939,20.7,0.77,False,False,False,True,True,False,False,False,False,False,False,False,23,0.38541335945432564,0.9227440286201426
2022-01-24,0,20.4,16.8,3.3,88,18.6,3.599999999999998,1,0.88,0.0,0.0,0.0,19.35,18.45,21.25,1.0,0.0,0.0,0.72,0.72,0.76,0.0,0.0714285714285714,19.285714285714285,19.88214285714286,0.4285714285714285,0.3571428571428571,0.7542857142857143,0.765,16.368000000000002,18.6,0.88,False,False,False,True,True,False,False,False,False,False,False,False,24,0.40122898544750096,0.9159777842484875
